seed_item_id,recommended_product_id,score
11338,10858,28
11338,79141,22
11338,332,20
11338,2809,20
11338,72786,18
10858,11338,28
10858,79141,22
10858,332,20
10858,2809,20
10858,72786,18
79141,11338,28
79141,10858,28
79141,332,20
79141,2809,20
79141,72786,18
332,11338,28
332,10858,28
332,79141,22
332,2809,20
332,72786,18
2809,11338,28
2809,10858,28
2809,79141,22
2809,332,20
2809,72786,18
72786,11338,28
72786,10858,28
72786,79141,22
72786,332,20
72786,2809,20
49272,11338,28
49272,10858,28
49272,79141,22
49272,332,20
49272,2809,20
1907,11338,28
1907,10858,28
1907,79141,22
1907,332,20
1907,2809,20
34804,11338,28
34804,10858,28
34804,79141,22
34804,332,20
34804,2809,20
1189,11338,28
1189,10858,28
1189,79141,22
1189,332,20
1189,2809,20
34192,11338,28
34192,10858,28
34192,79141,22
34192,332,20
34192,2809,20
11718,11338,28
11718,10858,28
11718,79141,22
11718,332,20
11718,2809,20
49562,11338,28
49562,10858,28
49562,79141,22
49562,332,20
49562,2809,20
1356,11338,28
1356,10858,28
1356,79141,22
1356,332,20
1356,2809,20
13749,11338,28
13749,10858,28
13749,79141,22
13749,332,20
13749,2809,20
73719,11338,28
73719,10858,28
73719,79141,22
73719,332,20
73719,2809,20
3719,11338,28
3719,10858,28
3719,79141,22
3719,332,20
3719,2809,20
35015,11338,28
35015,10858,28
35015,79141,22
35015,332,20
35015,2809,20
35311,11338,28
35311,10858,28
35311,79141,22
35311,332,20
35311,2809,20
31013,11338,28
31013,10858,28
31013,79141,22
31013,332,20
31013,2809,20
2843,11338,28
2843,10858,28
2843,79141,22
2843,332,20
2843,2809,20
79178,11338,28
79178,10858,28
79178,79141,22
79178,332,20
79178,2809,20
11664,11338,28
11664,10858,28
11664,79141,22
11664,332,20
11664,2809,20
85517,11338,28
85517,10858,28
85517,79141,22
85517,332,20
85517,2809,20
48286,11338,28
48286,10858,28
48286,79141,22
48286,332,20
48286,2809,20
43999,11338,28
43999,10858,28
43999,79141,22
43999,332,20
43999,2809,20
6913,11338,28
6913,10858,28
6913,79141,22
6913,332,20
6913,2809,20
32757,11338,28
32757,10858,28
32757,79141,22
32757,332,20
32757,2809,20
3147,11338,28
3147,10858,28
3147,79141,22
3147,332,20
3147,2809,20
9989,11338,28
9989,10858,28
9989,79141,22
9989,332,20
9989,2809,20
22894,11338,28
22894,10858,28
22894,79141,22
22894,332,20
22894,2809,20
6430,11338,28
6430,10858,28
6430,79141,22
6430,332,20
6430,2809,20
3655,11338,28
3655,10858,28
3655,79141,22
3655,332,20
3655,2809,20
375426,11338,28
375426,10858,28
375426,79141,22
375426,332,20
375426,2809,20
131616,11338,28
131616,10858,28
131616,79141,22
131616,332,20
131616,2809,20
35380,11338,28
35380,10858,28
35380,79141,22
35380,332,20
35380,2809,20
176017,11338,28
176017,10858,28
176017,79141,22
176017,332,20
176017,2809,20
34990,11338,28
34990,10858,28
34990,79141,22
34990,332,20
34990,2809,20
51257,11338,28
51257,10858,28
51257,79141,22
51257,332,20
51257,2809,20
6078,11338,28
6078,10858,28
6078,79141,22
6078,332,20
6078,2809,20
47926,11338,28
47926,10858,28
47926,79141,22
47926,332,20
47926,2809,20
30340,11338,28
30340,10858,28
30340,79141,22
30340,332,20
30340,2809,20
33818,11338,28
33818,10858,28
33818,79141,22
33818,332,20
33818,2809,20
30792,11338,28
30792,10858,28
30792,79141,22
30792,332,20
30792,2809,20
126390,11338,28
126390,10858,28
126390,79141,22
126390,332,20
126390,2809,20
57989,11338,28
57989,10858,28
57989,79141,22
57989,332,20
57989,2809,20
364,11338,28
364,10858,28
364,79141,22
364,332,20
364,2809,20
9654,11338,28
9654,10858,28
9654,79141,22
9654,332,20
9654,2809,20
6627,11338,28
6627,10858,28
6627,79141,22
6627,332,20
6627,2809,20
12841,11338,28
12841,10858,28
12841,79141,22
12841,332,20
12841,2809,20
4523,11338,28
4523,10858,28
4523,79141,22
4523,332,20
4523,2809,20
14179,11338,28
14179,10858,28
14179,79141,22
14179,332,20
14179,2809,20
47296,11338,28
47296,10858,28
47296,79141,22
47296,332,20
47296,2809,20
375334,11338,28
375334,10858,28
375334,79141,22
375334,332,20
375334,2809,20
8758,11338,28
8758,10858,28
8758,79141,22
8758,332,20
8758,2809,20
32394,11338,28
32394,10858,28
32394,79141,22
32394,332,20
32394,2809,20
176018,11338,28
176018,10858,28
176018,79141,22
176018,332,20
176018,2809,20
73775,11338,28
73775,10858,28
73775,79141,22
73775,332,20
73775,2809,20
10177,11338,28
10177,10858,28
10177,79141,22
10177,332,20
10177,2809,20
10565,11338,28
10565,10858,28
10565,79141,22
10565,332,20
10565,2809,20
54421,11338,28
54421,10858,28
54421,79141,22
54421,332,20
54421,2809,20
40639,11338,28
40639,10858,28
40639,79141,22
40639,332,20
40639,2809,20
36031,11338,28
